theory_level basis_set n_notNaNs MedAE MAE RMSE MaxAE
PBEh1PBE cc-pVQZ 430   4.9861   5.6878   7.0962  17.0686
PBEh1PBE dAug-cc-pVTZ 430   3.9010   4.6695   5.7176  13.3913
PBEh1PBE Apr-cc-pVQZ 430   4.5441   5.3687   6.6895  16.3541
PBEh1PBE TApr-cc-pVQZ 430   4.5441   5.3682   6.6889  16.3541
PBEh1PBE Def2QZVP 430   4.1486   5.0929   6.3149  15.4536
PBEh1PBE QZVP 430   4.1486   5.0929   6.3149  15.4536
PBEh1PBE spAug-cc-pVQZ 430   4.4972   5.3435   6.6527  16.2665
PBEh1PBE Def2QZVPP 430   4.1486   5.0929   6.3149  15.4536
PBEh1PBE AUG-cc-pVQZ 429   4.7744   5.5795   6.9653  16.9334
wB97X DGTZVP 429   3.5198   3.8505   4.6458  14.9334
wB97X TZVP 429  14.4334  14.0936  14.4572  26.5235
wB97X Def2TZVP 430   5.5716   5.7850   6.4196  17.4155
wB97X cc-pVTZ 430   5.1756   5.2924   5.8625  17.0105
wB97X Def2TZVPP 430   3.6438   3.7750   4.4232  14.7250
wB97X TApr-cc-pVTZ 430   4.5168   4.7287   5.3622  15.3235
wB97X EPR-III 430   3.9839   4.0744   4.7121  14.8808
wB97X Apr-cc-pVTZ 430   6.0052   6.1897   6.6989  16.8668
wB97X spAug-cc-pVTZ 430   6.3403   6.5211   7.0309  17.1948
wB97X MTSmall 430   3.4443   3.7260   4.4209  15.3861
wB97X AUG-cc-pVTZ 430   5.3015   5.4067   5.9940  15.8290
wB97X cc-pVQZ 3515   3.0711   3.5432   8.5435 439.9517
wB97X dAug-cc-pVTZ 430   5.0537   5.1621   5.7774  15.5489
wB97X Apr-cc-pVQZ 3443   3.4632   3.8926   8.7942 440.3108
wB97X TApr-cc-pVQZ 430   3.1810   3.3616   4.0365  13.4419
wB97X Def2QZVP 429   3.3993   3.6273   4.3235  13.8123
wB97X QZVP 430   3.3806   3.6245   4.3200  13.8067
wB97X spAug-cc-pVQZ 430   3.3069   3.4985   4.1883  13.5657
wB97X Def2QZVPP 430   3.3806   3.6245   4.3200  13.8143
wB97X AUG-cc-pVQZ 3719   3.1477   3.6221   8.4051 439.5380
wB97XD DGTZVP 429   4.8530   4.8409   5.4606  16.9986
wB97XD TZVP 429  15.5968  15.1012  15.4713  28.3988
wB97XD Def2TZVP 430   6.8210   7.0062   7.6259  19.4401
wB97XD cc-pVTZ 430   6.4520   6.5888   7.1282  19.1323
wB97XD Def2TZVPP 430   4.8566   4.9323   5.5872  16.8225
wB97XD TApr-cc-pVTZ 430   5.8499   6.0033   6.5976  17.4208
wB97XD EPR-III 430   5.3063   5.3589   5.9779  16.9372
wB97XD Apr-cc-pVTZ 430   7.3905   7.5050   8.0159  18.9405
wB97XD spAug-cc-pVTZ 430   7.7642   7.9076   8.4250  19.2649
wB97XD MTSmall 430   4.2174   4.4436   5.1419  16.9288
wB97XD AUG-cc-pVTZ 430   6.7615   6.9191   7.4928  18.1235
wB97XD cc-pVQZ 430   3.3601   3.6464   4.3793  14.9920
wB97XD dAug-cc-pVTZ 430   6.4167   6.6860   7.2818  17.8296
wB97XD Apr-cc-pVQZ 430   3.9389   4.1650   4.8908  15.1520
wB97XD TApr-cc-pVQZ 430   3.9389   4.1650   4.8909  15.1641
wB97XD Def2QZVP 429   4.1891   4.3694   5.1029  15.4958
wB97XD QZVP 430   4.1790   4.3656   5.0987  15.4958
wB97XD spAug-cc-pVQZ 430   4.1923   4.3873   5.1226  15.3699
wB97XD Def2QZVPP 430   4.1790   4.3656   5.0987  15.4958
wB97XD AUG-cc-pVQZ 430   3.6322   3.8802   4.6313  14.6222
